Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",72.517000,-61.722000,90.000000,top
"C2","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",70.866000,-61.722000,90.000000,top
"C3","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",84.100000,-66.500000,90.000000,top
"C4","20pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",80.750000,-82.130000,270.000000,top
"C5","20pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",82.750000,-79.540000,90.000000,top
"C6","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",84.566500,-61.181000,270.000000,top
"C7","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",86.217500,-61.181000,270.000000,top
"C8","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",130.517500,-64.750000,180.000000,top
"C9","470nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",97.000000,-80.300000,90.000000,top
"C10","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",95.000000,-86.550000,180.000000,top
"C11","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",84.000000,-84.550000,90.000000,top
"C12","20pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",105.300000,-86.000000,270.000000,top
"C13","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",115.900000,-80.800000,0.000000,top
"C14","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",85.100000,-77.850000,180.000000,top
"C15","20pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",97.700000,-86.150000,270.000000,top
"C16","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",115.900000,-81.775000,0.000000,top
"C17","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",85.100000,-76.850000,180.000000,top
"C18","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",110.400000,-67.875000,0.000000,top
"C19","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",94.450000,-72.400000,0.000000,top
"C20","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",110.400000,-68.875000,180.000000,top
"C21","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",99.700000,-76.100000,0.000000,top
"C22","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",99.700000,-77.200000,0.000000,top
"C23","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",105.540000,-73.475000,0.000000,top
"C24","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",99.227500,-56.230000,180.000000,top
"C25","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",98.920000,-57.470000,0.000000,top
"C26","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",130.600000,-62.450000,180.000000,top
"C27","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",130.550000,-61.150000,0.000000,top
"D1","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",68.566000,-79.756000,180.000000,top
"D2","RED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",68.566000,-81.280000,180.000000,top
"F1","Polyfuse","Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder",114.200000,-65.525000,270.000000,top
"FB1","600","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",73.152000,-74.231500,270.000000,top
"FB2","600","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",73.152000,-65.532000,270.000000,top
"J1","USB_B_Micro","USB_Mini-B_Lumberg_2486_01_Horizontal_hand_soldered",67.675000,-69.850000,270.000000,top
"J2","SWD","PinHeader_2x05_P1.27mm_Vertical_SMD_case",88.945000,-69.850000,0.000000,top
"R1","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",74.930000,-74.041000,90.000000,top
"R2","1K5","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",79.750000,-79.560000,270.000000,top
"R3","22","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",80.750000,-79.560000,90.000000,top
"R4","22","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",81.750000,-79.560000,90.000000,top
"R5","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",74.295000,-79.756000,0.000000,top
"R6","100","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",98.010000,-80.310000,90.000000,top
"R7","47K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",130.552500,-63.750000,180.000000,top
"R8","2k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",97.700000,-83.900000,90.000000,top
"R9","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",103.200000,-53.100000,90.000000,top
"R10","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",74.295000,-81.407000,0.000000,top
"R11","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",94.450000,-73.400000,0.000000,top
"R12","330","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",105.520000,-70.510000,0.000000,top
"R13","4k7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",113.675000,-81.775000,180.000000,top
"R14","4k7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",113.675000,-82.775000,0.000000,top
"R15","330","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",105.520000,-71.510000,0.000000,top
"RN1","33","R_Array_Convex_4x0402_hand_soldered",117.200000,-77.250000,0.000000,top
"RN2","33","R_Array_Convex_4x0402_hand_soldered",117.200000,-74.375000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",78.994000,-61.976000,180.000000,top
"U2","STM32F103CBT6","LQFP-48_7x7mm_P0.5mm",90.000000,-81.800000,180.000000,top
"U3","AD8531ARTZ","SOT-23-5_HandSoldering",111.025000,-65.550000,180.000000,top
"U4","TXS0108EPWR","TSSOP-20_4.4x6.5mm_P0.65mm",111.275000,-76.425000,90.000000,top
"Y1","8MHz","Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm",101.500000,-85.200000,180.000000,top
